"Player_Name","year","p_formatted_ip","pitch_hand","n","arm_angle","n_ff_formatted","ff_avg_speed","n_sl_formatted","sl_avg_speed","n_ch_formatted","ch_avg_speed","n_cu_formatted","cu_avg_speed","n_si_formatted","si_avg_speed","n_fc_formatted","fc_avg_speed","n_fs_formatted","fs_avg_speed","fs_avg_break_z_induced","n_kn_formatted","kn_avg_speed","n_st_formatted","st_avg_speed","n_sv_formatted","sv_avg_speed","n_fo_formatted","fo_avg_speed","n_sc_formatted","sc_avg_speed","n_fastball_formatted","fastball_avg_speed","n_breaking_formatted","breaking_avg_speed","n_offspeed_formatted","offspeed_avg_speed","Player_Name_clean","BMI","throws","Num_Surgeries","hadSurgery"
"Bartolo Colon",2015,194.2,"R",2683,NA,29.1,90.9,9.7,82.8,7.4,82.6,0.3,81.5,53.5,87.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.6,88.9,10,82.8,7.4,82.6,"Bartolo Colon",39.75,"R",0,0
"LaTroy Hawkins",2015,38.2,"R",553,NA,73.8,93.7,16.1,87.7,8,84.7,0.5,78.2,1.6,93.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.4,93.7,16.6,87.4,8,84.7,"LaTroy Hawkins",26.09,"R",0,0
"Bruce Chen",2015,6.1,"L",118,NA,0.8,85.7,31.4,81.7,13.6,76.1,9.3,73.2,44.9,84.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8,84.3,40.7,79.7,13.6,76.1,"Bruce Chen",27.6,"L",1,1
"Randy Wolf",2015,34.2,"L",619,NA,15.7,89.3,24.6,83.7,11.1,78.5,15.7,69.7,33,88.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.6,88.8,40.2,78.2,11.1,78.5,"Randy Wolf",27.8,"L",2,1
"Jason Marquis",2015,47.1,"R",773,NA,NA,NA,19.4,82.6,21.2,78.8,NA,NA,59.4,88.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.4,88.3,19.4,82.6,21.2,78.8,"Jason Marquis",29.02,"R",1,1
"Barry Zito",2015,7,"L",150,NA,30,84,NA,NA,22,74.3,20,70,28,84.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,84.3,20,70,22,74.3,"Barry Zito",26.32,"L",0,0
"Tim Hudson",2015,123.2,"R",1848,NA,7,88.5,NA,NA,NA,NA,11.6,75.8,47.3,88.7,22.8,83,11.2,80.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.2,87,11.6,75.8,11.2,80.9,"Tim Hudson",23.09,"R",1,1
"Buddy Carlyle",2015,8,"R",118,NA,58.5,90.9,13.6,86.4,3.4,84.9,NA,NA,24.6,89.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.1,90.6,13.6,86.4,3.4,84.9,"Buddy Carlyle",26.25,"R",0,0
"Jason Grilli",2015,33.2,"R",587,NA,66.4,94.6,31.9,83.1,0.2,86.5,NA,NA,1.5,94.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,94.6,31.9,83.1,0.2,86.5,"Jason Grilli",27.86,"R",1,1
"Kevin Gregg",2015,10.2,"R",213,NA,62,91.5,NA,NA,NA,NA,11.3,79.8,NA,NA,11.7,88.6,15,83.7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.7,91.1,11.3,79.8,15,83.7,"Kevin Gregg",28.31,"R",0,0
"Joaquín Benoit",2015,65.1,"R",1032,NA,38,94.8,19.7,88,34.4,84.7,NA,NA,7.9,94.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,94.8,19.7,88,34.4,84.7,"Joaquin Benoit",30.43,"R",0,0
"Matt Belisle",2015,33.2,"R",587,NA,41.4,91.1,29.5,85.9,3.1,86.4,9,75.2,17,90.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.4,91,38.5,83.4,3.1,86.4,"Matt Belisle",28.74,"R",0,0
"Mark Buehrle",2015,198.2,"L",2818,NA,26.4,84.5,NA,NA,21.1,78.7,8.6,71.7,24.5,83.5,19.5,79.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.3,82.9,8.6,71.7,21.1,78.7,"Mark Buehrle",30.81,"L",0,0
"CC Sabathia",2015,167.1,"L",2693,NA,25.2,90.8,22.5,79.6,14,83.9,NA,NA,38.3,89.8,0,90.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.6,90.2,22.5,79.6,14,83.9,"CC Sabathia",34.66,"L",0,0
"Ryan Vogelsong",2015,135,"R",2304,NA,41.2,91.6,15.5,88.5,8.7,84,20.6,77,14.1,91.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3,91.6,36,81.9,8.7,84,"Ryan Vogelsong",26.17,"R",1,1
"Randy Choate",2015,27.1,"L",406,NA,0.7,84.8,38.4,74.5,NA,NA,NA,NA,60.8,84.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.6,84.2,38.4,74.5,NA,NA,"Randy Choate",27.04,"L",0,0
"Jeremy Affeldt",2015,35.1,"L",554,NA,NA,NA,NA,NA,8.7,86.7,23.8,75,67.5,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.5,91,23.8,75,8.7,86.7,"Jeremy Affeldt",27.38,"L",0,0
"Grant Balfour",2015,4.1,"R",89,NA,34.8,90.1,41.6,85.4,2.2,88.1,3.4,81.3,15.7,89.7,2.2,88.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.8,90,44.9,85.1,2.2,88.1,"Grant Balfour",25.68,"R",1,1
