"last_name, first_name","player_id","year","p_formatted_ip","pitch_hand","n","arm_angle","n_ff_formatted","ff_avg_speed","n_sl_formatted","sl_avg_speed","n_ch_formatted","ch_avg_speed","n_cu_formatted","cu_avg_speed","n_si_formatted","si_avg_speed","n_fc_formatted","fc_avg_speed","n_fs_formatted","fs_avg_speed","fs_avg_break_z_induced","n_kn_formatted","kn_avg_speed","n_st_formatted","st_avg_speed","n_sv_formatted","sv_avg_speed","n_fo_formatted","fo_avg_speed","n_sc_formatted","sc_avg_speed","n_fastball_formatted","fastball_avg_speed","n_breaking_formatted","breaking_avg_speed","n_offspeed_formatted","offspeed_avg_speed"
"Colon, Bartolo",112526,2015,"194.2","R","2683",,"29.1","90.9","9.7","82.8","7.4","82.6","0.3","81.5","53.5","87.8",,,,,,,,,,,,,,,,"82.6","88.9","10","82.8","7.4","82.6"
"Hawkins, LaTroy",115629,2015,"38.2","R","553",,"73.8","93.7","16.1","87.7","8","84.7","0.5","78.2","1.6","93.8",,,,,,,,,,,,,,,,"75.4","93.7","16.6","87.4","8","84.7"
"Chen, Bruce",136600,2015,"6.1","L","118",,"0.8","85.7","31.4","81.7","13.6","76.1","9.3","73.2","44.9","84.3",,,,,,,,,,,,,,,,"45.8","84.3","40.7","79.7","13.6","76.1"
"Wolf, Randy",150116,2015,"34.2","L","619",,"15.7","89.3","24.6","83.7","11.1","78.5","15.7","69.7","33","88.6",,,,,,,,,,,,,,,,"48.6","88.8","40.2","78.2","11.1","78.5"
"Marquis, Jason",150302,2015,"47.1","R","773",,,,"19.4","82.6","21.2","78.8",,,"59.4","88.3",,,,,,,,,,,,,,,,"59.4","88.3","19.4","82.6","21.2","78.8"
"Burnett, A.J.",150359,2015,"164.0","R","2490",,"11.7","91.7",,,"8.8","86.3","29.4","82.3","50.1","91.5",,,,,,,,,,,,,,,,"61.8","91.6","29.4","82.3","8.8","86.3"
"Zito, Barry",217096,2015,"7.0","L","150",,"30","84",,,"22","74.3","20","70","28","84.5",,,,,,,,,,,,,,,,"58","84.3","20","70","22","74.3"
"Hudson, Tim",218596,2015,"123.2","R","1848",,"7","88.5",,,,,"11.6","75.8","47.3","88.7","22.8","83","11.2","80.9","0.3",,,,,,,,,,,"77.2","87","11.6","75.8","11.2","80.9"
"Carlyle, Buddy",234194,2015,"8.0","R","118",,"58.5","90.9","13.6","86.4","3.4","84.9",,,"24.6","89.9",,,,,,,,,,,,,,,,"83.1","90.6","13.6","86.4","3.4","84.9"
"Grilli, Jason",276351,2015,"33.2","R","587",,"66.4","94.6","31.9","83.1","0.2","86.5",,,"1.5","94.6",,,,,,,,,,,,,,,,"68","94.6","31.9","83.1","0.2","86.5"
"Gregg, Kevin",276514,2015,"10.2","R","213",,"62","91.5",,,,,"11.3","79.8",,,"11.7","88.6","15","83.7","7",,,,,,,,,,,"73.7","91.1","11.3","79.8","15","83.7"
"Benoit, Joaquín",276542,2015,"65.1","R","1032",,"38","94.8","19.7","88","34.4","84.7",,,"7.9","94.9",,,,,,,,,,,,,,,,"45.9","94.8","19.7","88","34.4","84.7"
"Belisle, Matt",279571,2015,"33.2","R","587",,"41.4","91.1","29.5","85.9","3.1","86.4","9","75.2","17","90.8",,,,,,,,,,,,,,,,"58.4","91","38.5","83.4","3.1","86.4"
